,eis
a,base
a,consequência
a,escala
a,minha
acabo,de
antônio,carlos
aqui,este
as,notas
as,notas
aí,que
base,é
carlos,jobim
com,a
como,eu
como,eu
como,eu
consequência,do
consequência,inevitável
contar,com
de,uma
de,dizer
de,você
de,toda
de,você
deu,em
diz,nada
dizer,como
do,que
dó,fica
dó,fica
e,não
e,no
e,voltei
e,quem
e,quem
eis,aqui
em,nada
entrar,,mas
escala,e
esta,outra
este,sambinha
eu,sou
eu,volto
eu,gosto
existe,por
fala,tanto
feito,numa
fica,sempre
fica,sempre
final,não
fique,numa
fique,numa
fá,,sol,
fá,,sol,
gente,existe
gosto,de
inevitável,de
jobim,
já,me
lá,,si,
lá,,si,
mas,a
me,utilizei
mi,,fá,
mi,,fá,
minha,nota
minha,nota
nada,ou
nada,já
nada,não
nada,e
nenhuma,fique
nenhuma,fique
no,final
nota,só
nota,só
nota,como
nota,como
nota,só
nota,só
notas,vão
notas,ré,
notas,ré,
numa,nota
numa,nota
numa,nota
não,diz
não,sobrou
não,deu
ou,quase
outra,é
outras,notas
por,aí
pra,minha
pra,você
quanta,gente
quase,nada
que,acabo
que,fala
quem,quer
quem,quer
quer,todas
quer,todas
ré,,mi,
ré,,mi,
samba,de
sambinha,feito
sem,nenhuma
sem,nenhuma
sempre,sem
sempre,sem
si,,dó
si,,dó
sobrou,nada
sol,,lá,
sol,,lá,
sou,a
só,antônio
só,outras
só,esta
só,e
só,
tanto,e
toda,a
todas,as
todas,as
uma,nota
uma,só
utilizei,de
você,quanta
você,vou
você,e
voltei,pra
volto,pra
vou,contar
vão,entrar,
é,uma
é,consequência
